,CHANNEL_ID,CHANNEL_NAME,CHANNEL_DESCRIPTION,CHANNEL_TAGS,MAINLY_USED_KEYWORDS,MAINLY_USED_TAGS,CHANNEL_COUNTRY,CHANNEL_LINK,CHANNEL_SINCE,CHANNEL_CLUSTER,CRAWLED_DATE,USER_ID,channel_id_part,CHANNEL_THUMBNAIL
10,UCX_iQgWNiYx4H4DVzKCPGfg,코무키키,생방송은 치지직 https://chzzk.naver.com/010379f20da3ec9249bfe0bbdcb05762,[],,,,,2023-09-26,10,2024-10-09 17:00:16,,_,https://yt3.googleusercontent.com/QjdQEtWJ7TC5rSInhL1Uvw1K40x0wvdxF1Ko4FTXZEZA1rD7-FCzwnI60SDCOp74_K1VmOdwYA=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
11,UCA-TqsUqAL-c14stpFKbpWw,푸애짱 [푸바오 애니판 짱바오],"안녕하세요. 푸바오 애니판 짱바오 채널이에요. [푸애짱] 판다곰 푸바오가 그랬던 것처럼 모든 분들의 일상에 가슴 뛰는 따듯함을 더 해주겠다는 생각으로 시작한 푸애짱 채널'이에요. ""푸바오가 만약 사람과 비슷한 생각과 행동을 할 수 있다면 어땠을까?"" 라는 생각에서 시작되어 귀여운 ...","['팬더', '판다', '푸바오', '이야기', '유머', '놀란 판다', '놀란 푸바오', '판다 눈놀이', '판다 장화', '웃긴 판다', '아기 판다', '판다짤', '#판다소리', '판다 소리', 'panda', 'animals', 'cute', 'fubao', 'pubao', '푸바오 채널', '판다곰', 'noticia', 'Pubao', 'venderse', 'oso panda', 'Panda bear', 'プバオ', 'パンダ', 'パンダ熊', '福宝', '熊猫', '아이바오', '루이바오', '후이바오', '치짜이', '푸바오 동생', '동물', '판다 이야기', '푸애짱', '푸바오 근황', '푸바오 최신근황', '판다 영상', '판다 웃긴 영상', '판다 춤', '판다 소리', '뚠뚠이', '아기판다', '루이']",,,대한민국,youtube.com/@jjangbao?sub_confirmation=1,2024-02-02,0,2024-10-09 17:00:16,,-,https://yt3.googleusercontent.com/lwoN5QZ3MVkVWPf4to2ElwQBPs6uF1OsT6pWVRm6S4QqxjRZsi6ss-keL5-LBX5HaBtKIla0=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
12,UCC-7WT5OUalgt7y0zX9mcYQ,빅비,"' 언제나 유용한 후기나 리뷰를 올리도록 최선을 다하겠습니다 '플레이 중인 플랫폼 - PC PS5게임 리뷰 & 후기 채널본 채널은 다양한 최신 게임 리뷰 및 후기 그리고 각종 특집 영상들을 업로드하는 곳입니다구독 & 알림과 좋아요 그리고 덧글은 업로더에게 큰 힘이 됩니다게임은 주로 인디 게임 혹은 AAA급 게임 등 현재 소지중인 플랫폼 게임들 위주 전체적으로 다룹니다네이버 블로그 + 포스트 포함 약 10년 정도 에디터로 개인 활동했습니다현재도 부족하다 느끼며, 처음부터 계속해서 배워가는 중입니다영상 업로드는 주로 평일 업로드되고, 작업량이 많아지면 주말에도 살짝 올라갑니다---------------------------------------------------------------------------------------------------------------2023년 2월 15일 - 구독자 5천명 달성! 대단히 감사드립니다!!","['빅비', '게임', '어쌔신크리드발할라', '더데이비포', '스나이퍼고스트워리어컨트랙트2', '화이트데이2', '파크라이6', '디아블로4', '스트리트파이터6', '아웃라스트트라이얼']",,,대한민국,"https://blog.naver.com/fbgmlwo25,https://post.naver.com/fbgmlwo25,https://store.steampowered.com/curator/34888801/,https://toon.at/donate/bigbygamecolor,https://blog.naver.com/fbgmlwo25,https://post.naver.com/fbgmlwo25,https://store.steampowered.com/curator/34888801/,https://toon.at/donate/bigbygamecolor",2013-12-03,5,2024-10-09 17:00:16,0.0,-,https://yt3.googleusercontent.com/lmBKFjXvflcI49RzVV_K5zUCtLUf3rBtKTD6cv67e7Ws2HEmxpFLOhLpa82kaRCbIakdj6eyhA=s900-c-k-c0x00ffffff-no-rj
13,UCi-0jmyw3x6efk090BAVfxA,이렐킹 IRELKING,챌린저 이렐리아 장인 이렐킹 유튜브 채널입니다.\n,,,,대한민국,twitch.tv/irelking3,2021-06-04,49,2024-10-09 17:00:16,0.0,-,https://yt3.googleusercontent.com/jFTTC8trQ5NMxZFVCLRi5bcotL5D6oSdD-hX9a0Io8_Hmbsi7F6RW5O7pad3m_sFORGguXFu_gM=s900-c-k-c0x00ffffff-no-rj
14,UCn-SY9fiqgEbN8q-50aVfAQ,71살 어제,김아재 후원하기 : https://toon.at/donate/638048727797042546 날 끝까지 봐주는 너 너가 내 사랑이야~ 팀 리라이프 리더 어제 다시보기 채널,"['레볼루션하트', 'Re:Life', 'Vtuber', '버튜버', '아이돌', '게임채널', '풀영상', 'Game', '마인크래프트', '마비노기', '시장놀이', '허니츄러스', '고세구', '우왁굳', '트위치', '스트리머', '싸이코드', '패러그린', '패밀리아', '겜블러', '잭', '아카이로류', '감제이', '리라이프', '어제', '킨', '강다한', '버츄얼', '연', '늦잠', '패밀리라', '어라이브', '이세돌', '왁타버스', '고세구', '징버거', '스텔라이브', '향아치', '던파', '메이플']",,,대한민국,chzzk.naver.com/7aff3b4288d45b95d8c0a561b0cced86,2022-11-24,5,2024-10-09 17:00:16,,-,https://yt3.googleusercontent.com/nToMIN_h2kjaZh4GnA2zV2yrcngR0BePWxaIMv4zZbJR92SiJc3VAAXhxdJmgg5h8cNdFPBKwiM=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
15,UCO-svEJBdWiaViuy0TxVFFg,NCHIVE,,"['NCHIVE', 'NCV', 'dpszkdlqm', '엔카이브', '오브문스튜디오', 'AUBEMOON', 'AUBEMOONSTUDIO', '오브문']",,,대한민국,"aubemoon.com,instagram.com/official_nchive,twitter.com/nchiveofficial,tiktok.com/@nchive_official",2023-11-03,17,2024-10-09 17:00:16,,-,https://yt3.googleusercontent.com/QeKyIVQTrMGaZbk30DwNQT772ytpsk7-cJL89cIdYKKC1ZgriXmVCtA3kKt0qi1wxHqCGSoB=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
16,UCt-f9Gs4J6yugddVFZ47Zuw,군수박채널,"안녕하세요~ 군수박채널을 방문해 주셔서 너무도 감사드립니다~ 주 컨텐츠인 보고듣는 인물위키는 글로만 보던 위키의 내용을 읽어드리고 내용에 맞는 이미지와 영상을 보여 드리는 컨셉입니다. 한가지 당부드리고 싶은 말씀은 위키의 내용을 보고 듣는다는 컨셉이기 때문에 나무위키, 위키페이디아...","['보도듣는', '인물위키', '일본', '일본배우', '남자배우', '여자배우', '연예인', '필모그래피', '여배우', '인물', '女優', '俳優', '子役俳優', '日本の芸能人', 'Japanese celebrities', 'actress', 'Actor', 'gameplay', 'nocommentary', 'starwars', 'battlefront', 'battlefront2', 'worldwarz', '월드워z', '배틀프론트', '배틀프론트2', '여배우', '남배우', '모델', '연극배우', '영화', '드라마', '애니', '게임', 'actor', 'actress', 'mission', '멀티플레이', 'multiplay', '싱글플레이', 'singleplay', '캠페인', 'campaign', '게임영상', 'gamemovie', 'movie', 'drama', 'cm', 'cf', '광고', '광고모음', '필모그래피']",,,대한민국,,2010-07-08,5,2024-10-09 17:00:16,,-,https://yt3.googleusercontent.com/E5_HomdUAbJA-gJds5berTyPolF2eu3T2NPAsKVm9eRlIgLhPrCHh1CfhphIuxKxfzJ1AwE8Cg=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
17,UCU-wl-PZYxpWeDl1OIiE_hQ,Operation Ceremony Dr. Park's - 박천진,"발기부전 / 전립선 / 남성성형 전문 클리닉 강남J비뇨기과 박천진 원장입니다.주변에 쉽게 말 못할 고민과 궁금증을 풀어드리고, 진료부터 수술까지 정확한 정보전달을 위해 유튜브 활동을 하고 있습니다.홈페이지 : www.manclinic.com더 궁금하신 사항은 상담전화 : 010-9190-8275카카오톡ID : gnjurology병원대표전화 : 02-3018-7575로 연락주시면 친절하고 자세한 상담 도와드리겠습니다. 감사합니다.","['박천진', '강남비뇨기과', '음경임플란트', '전립선비대증', '음경', '홀렙', '임플란트', '강남J비뇨기과', '바세린', 'holep']",,,대한민국,"http://www.manclinic.com/main.html,http://www.manclinic.com/main.html",2014-11-14,0,2024-10-10 17:00:17,0.0,-,https://yt3.googleusercontent.com/aJQyFglGo9rFCqKuZhd4U2yTnw3ttCk7XYREoIbXu6mjCkbhFKv3KWHkV-0SzsXa9x_1pX0Vfw=s900-c-k-c0x00ffffff-no-rj
18,UCV-pRqEYKNmbpNvvImnmEQw,Jo's family,">>일상 >>편집없는이집의유튜브 >>나중에 우리가족의 추억보따리,리얼리티 >>거의모든영상이 no편집 >>아줌마유튭 #Daily #Unedited YouTube #My family's memory collection later. Reality? Almost all videos are...",[],,,,,2018-12-20,62,2024-10-09 17:00:16,,-,https://yt3.googleusercontent.com/8EWaaJqbWHeA2xswPCYt9iBVZ3es-c9AZWA5h-GW3yXTF2LeXNXZ3SOMXJIerCJ8ootlOWYKng=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
19,UCx-zIUgOFiq-OFBh4YlDR-A,혜라TV,생방송 : 매주 월요일 밤 9:00  이 채널은 마음에 대하여 이야기하는 방송입니다. 풀리지 않는 삶의 의문에 대하여 명쾌한 해답을 드립니다.,"['치유', '힐링', '영체마을', '영체', '명상', '마음공부', '혜라TV', '마음치유', '이혜라', '성기능']",,,empty,"https://blog.naver.com/maumshow,https://www.instagram.com/hyera_official/,https://blog.naver.com/maumshow,https://www.instagram.com/hyera_official/",2017-08-14,10,2024-10-09 17:00:16,0.0,-,https://yt3.googleusercontent.com/ytc/AIdro_k3l-51IuTPyZFGM_u7_JvME0PJjTmSNb9KmtM8aTi0SKo=s900-c-k-c0x00ffffff-no-rj
20,UCY-JfSIcOxSOeSa8mYMHn7g,young suk lim,,,,,대한민국,,2019-10-02,9,2024-10-09 17:00:16,0.0,-,https://yt3.googleusercontent.com/ytc/AIdro_mqWqL453RmJqYYkWr-V9Mq-V3MeQ_SPqHq9ApZSLSYIQ=s900-c-k-c0x00ffffff-no-rj
21,UC-0C8yVGJy-cS4FGlYKelWw,KBS 세계는지금,KBS 세계는 지금 공식 채널입니다.,"['세계는', '지금', '특파원보고', '국제시사', '우크라이나전쟁', '코로나19', '푸틴', '인플레이션', '제로코로나', '지구온난화']",,,대한민국,,2019-10-24,9,2024-10-09 17:00:16,0.0,0,https://yt3.googleusercontent.com/oZHH-z2DqPROJ7Z-dOAoiv6STJMNtP_OYOXSqGALYqgzNr_NMh2QptBymjUDVSRGGWWFFucOEw=s900-c-k-c0x00ffffff-no-rj
22,UC303RY51IROEr8N9ZGpm93g,선메아리,현역 성우로써 EBS비롯해서 각방송사와 배우로써의 노하우로 이방송을 통해서 많은 작품을 공유하려고합니다 성우 이의선,[],,,,,2020-01-30,23,2024-10-09 17:00:16,,0,https://yt3.googleusercontent.com/S6cmrlcQjexkbat17qCwZ9QOWS8P-JqJ6D_RLkT3Pl6gsEEkoKQrmVlo8-gM-gNWzHGTF1KOzA=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
23,UCa0iFt6o8dywjZn4wDTeAIw,Korean voice, 한국의 소리 Korean voice\n\nK Pop\n\nKorean Popular Music K-Pop 한국의 대중 음악 으로 불리는 노래가 한국의 댄스 음악 으로 규정할수 있을것이다\n대한민국에서 대중적 인기를 얻는 유행 음악을 말한다 가요라고 부르면된다 \n\nKorean popular music The song is Korean dance music will be able to define Getting popular in Korea talk about popular music You can call it gayo.\n\n\n\n\n\n\n,,,,대한민국,,2019-10-17,14,2024-10-09 17:00:16,0.0,0,https://yt3.googleusercontent.com/2h-stUIaFGyVPIy2WLdm4qyoY16L8vrEdWIuAYWZzqSswC-nHtHOqLz_9MriiFwpcwUZCWMu=s900-c-k-c0x00ffffff-no-rj
24,UCf0Bc7IKxbQLISHN8fJYSNg,Noby / 노비 처럼 일하다 가는 세상,"짝짝짝짝 축하드립니다!이 시대의 진정한 노가다 꾼들은 바로 """"당신"""" 입니다.우리는 모두 노비처럼 일하다 가는 세상에서 살고 있습니다.저 역시 마찮가지죠.앞으로 함께 '노다가' 속에서 살아갈텐데,지금부터라도 세상이 어떻게 돌아가고 있는지,조금이라도 쉽게 설명해 드리고 싶네요.99%에 가까운 진실에 1% 의견을 섞어 영상을 제작하는 Noby와 함께 떠나는 아파트 투어, 부동산 이야기문의 이메일  : nobynoby@naver.com노비(Noby) 입니다.저는 부동산 전문가는 아닙니다.하지만, 국내 1호, '부동산스토리텔러' 라고 말씀드리고 싶네요.아파트, 상가 등... 다양한 부동산에 대한 어려운 이야기들을여러분이 이해하기 쉽게 풀어서 해석해드리는 사람이 되고자합니다.부동산에 대한 이야기 하나만큼은 자신있게 쉽게 풀어들이고자 하는 채널이니 자주 방문해주세요.본 채널에서는 누구나 댓글을 게재할 수 있으나 내용의 책임은 게재한 본인에게 있습니다. 공식 입장이나 주제와 무관한 댓글, 악플은 사전 동의없이 삭제될 수 있습니다.채널 내 모든 영상은 허가 없이 무단으로 사용될 수 없습니다.(모든 영상은 '노비 처럼 일하다 가는 세상이다'에서 직접 촬영하고 소유하고 있습니다.)","['부동산', '노비', '아파트투어', '아파트', '임장', '아파트임장', '이야기', '투어', 'noby', '지금']",,,대한민국,,2013-01-17,4,2024-10-09 17:00:16,0.0,0,https://yt3.googleusercontent.com/ZpG214fbcaKIOTfBRYkDvvzLAwLcCGDL0vfZdT6xJVJ_XHmI-DBelUz1OaRPz27wYsuQrrPo=s900-c-k-c0x00ffffff-no-rj
25,UCH0GVd6rbLGwl3UspK7rTHA,드타,안녕하세요. 이메일 주소: yongbum8745@gmail.com,"['아르케랜드', '아르케', '아르캐랜드', '아르캐', 'srpg', '샬롯', '택틱스', '아르케렌드', '기사', '드타']",,,대한민국,,2014-05-17,5,2024-10-09 17:00:16,0.0,0,https://yt3.googleusercontent.com/QEMr6vATHctu2z6wTncNIXevvJemsMDldBDXZ0L_TgjyEu18hKrz4Y9aCat7SBTCDNZLWEy-yA=s900-c-k-c0x00ffffff-no-rj
26,UCr0uMKj593iSx4LltGHRBUg,겜빼미 GameOwl,여러가지 게임을 재밌게 하는 게임하는 올빼미 줄여서 겜빼미라고 합니다! 영상 재밌게 봐주시고 좋아요도 눌러주세용~,"['게임하는 올빼미', '겜빼미', '마인크래프트', '마크', '닌텐도 스위치', '젤다의 전설 야생의 숨결', '포켓몬 유나이트', '마인크래프트 괴담', '마인크래프트 방탈출', '마인크래프트 실험', '폴가이즈', '병맛 전쟁 시뮬레이터', '젤다무쌍 대재앙의 시대', '고전게임', '포켓몬스터 실드', '어몽어스', '마인크래프트 던전스', '슈퍼 스매시브라더스 얼티밋', '슈퍼 마리오 오디세이', '모여봐요 동물의 숲', '둠 이터널', '더 포레스트']",,,대한민국,,2012-12-23,5,2024-10-09 17:00:16,,0,https://yt3.googleusercontent.com/ncCfp61Z1nklhFCx_F8uAeU7yG_IHyzWf-nXqShQxdnDDXDRni5klpwNmQXAy5PU4zNtjfKOC_A=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
27,UCm69xuysxVgNuRpmXCiXlPw,힙합갤러리,여러분들에게 항상 좋은곡을 들려드릴려고 노력하겠습니다.\n모든영상의 저작권은 해당 래퍼분들에게 있습니다.\n영상제작 문의: ybhiphopgallery@gmail.com,,,,대한민국,,2020-10-30,87,2024-10-10 17:00:16,0.0,6,https://yt3.googleusercontent.com/W828STyhmd5zRPBslx0SuD-jR0Fy3ypNtQo1k-NUfUSLOK7JUVxeVbpBW6EjQakOuYDT4BiJcA=s900-c-k-c0x00ffffff-no-rj
28,UCJC3eND1vV_MR_UJB7-E9LQ,민카롱,ⓔ mincarong@dmil.krⓘ https://www.instagram.com/fallininm/copyright ⓒ민카롱,"['민카롱', '데일리메이크업', '쿨톤', '웜톤', '메이크업', 'mincarong', '쿨톤메이크업', '일상메이크업', '웜톤메이크업', 'GRWM']",,,대한민국,"https://www.instagram.com/fallininm/,https://www.instagram.com/fallininm/",2019-12-04,41,2024-10-10 17:00:17,0.0,c,https://yt3.googleusercontent.com/SbmZxDuyHq0I4abZFXnY1AnT5wAUgSv1t5_5l0HOCHhhLRjfgRitW2C3IcS3gNsxOQ1nlszuvg=s900-c-k-c0x00ffffff-no-rj
29,UCVcLszfUBN9rTmc0A0uDRSQ,KBC 뉴스,KBC 뉴스 공식 유튜브 채널입니다.매일 새롭게 올라오는 뉴스를 받아보시려면 구독과 알림설정 부탁드립니다.,"['kbc', 'kbc광주방송', '뉴스', '깨비씨', '다시보기', '광주', '민주당', '촌철살인', '영상', '사건']",,,대한민국,"https://www.instagram.com/kbc__news/,http://www.ikbc.co.kr/kor,https://media.naver.com/press/660,https://www.instagram.com/kbc__news/,http://www.ikbc.co.kr/kor,https://media.naver.com/press/660",2019-03-15,9,2024-10-10 17:00:16,0.0,c,https://yt3.googleusercontent.com/ZDJHfZ0FlyJ20O-i62quHZPGhEAa4Qm10dk6kCJ2INvhMimO7Jva42yQwRbHC-84p6u-FY-J=s900-c-k-c0x00ffffff-no-rj
30,UCxCsxXsJPDMfjcXEEV09m9w,바오랑 CHINA는 클래스,실시간 푸바오 소식❤️ 판다 Happy life 요리 여행 중국,"['푸바오', '마카롱', '판다', 'panda', '요리', 'cook', 'fubao', 'china travel', '중국여행', '여행']",,,대한민국,,2014-10-02,0,2024-10-10 17:00:16,,C,https://yt3.googleusercontent.com/16culhGG5VS1em0EvUTERHrs0lJ1LxOBSO5CCYt2M5HuOXfu3q4hSCVw-TJ2VCcLhdGh_ZIJ=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
31,UCYCb_mX7P1xKrB5iaT8y0Wg,엑스포로131,TJB 대전방송이 알려주는 충격적인 사건사고와 흥미진진한 이야기들!\n,,,,대한민국,,2019-11-28,10,2024-10-10 17:00:16,0.0,c,https://yt3.googleusercontent.com/VbN5jUMLAmL8uz1EPEouaBZB6LEBlHc5g3WALc-DHnYmFD1YK0n7qZ0t_xQSYJVW1QXg4w3YzA=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19970
32,UCid3cohbMuIdWmTz_Fk23Vw,용한일꾼 Tv,,"['의성군', '단북면', '단밀면', '의회', '회장', '안계', '다인면', '의성', '다인', '향우회']",,,empty,,2021-03-20,14,2024-10-10 17:00:17,0.0,d,https://yt3.googleusercontent.com/iAaxt_UsRkLZtfbFQ_Y5WKLaqIKt-PDnpm2V5rPIQm_IRBlqGYUehS93lqTOhsqk5ybplYUc8cc=s900-c-k-c0x00ffffff-no-rj
33,UCidvkcmgcC600uqGbu-fbMQ,다빈,외장하드 들어가기 전 올리는 채널,,,,,,2015-11-29,14,2024-10-10 17:00:16,0.0,d,https://yt3.googleusercontent.com/Z9Ny0wzto_L19OOQxTVCii7ajM8SByMEG74i9iOTge0dgrusz3CRJcD8Mxitwr1i9hG0Fmm1IA=s900-c-k-c0x00ffffff-no-rj
34,UCLDlamSGPyVt9jB-IgJUdDg,스마트청구,보험회사 지점장의 모든 것 (feat. 신PD),"['리쿠르팅', '영업직', '자영업', '사업', '사장', '초보사장', '영업관리', '보험설계사', '다단계', '네트워크마케팅', '보험']",,,대한민국,open.kakao.com/o/skFjxChg,2017-09-07,86,2024-10-10 17:00:16,,D,https://yt3.googleusercontent.com/ZzhuwwGbAny9m7BNpBtoKeMWQm5PrSc_t2v9wPbMqoKIAqWHJHOTlcr82NEY56T7KTRjs_WOyg=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19887
